id,key,name_en,name_zh,desc_en,desc_zh,selectable,max_rank,min_level,stat_bonus,required_skill,primary_stats
11,RAD_RESISTANCE,Rad Resistance,辐射抵抗力,"You are better able to avoid radiation, and the bad effects radiation causes.  Each level of this Perk will improve your Radiation Resistance by 10%.",你将会变得较能抵抗放射线伤害。每个等级都会增加10%的放射线免疫力。,True,3,6,"{""stat"": ""RADIATION_RESISTANCE"", ""per_rank"": 15}",,"{""EN"": 6, ""IN"": 4}"
12,TOUGHNESS,Toughness,强悍过人,"When you are tough, you take less damage.  Each level of this Perk will add +10% to your general damage resistance.",当你有壮大的体格时，就比较不易受到伤害。每个等级都会增加10%的普通攻击免疫力。,True,3,3,"{""stat"": ""DR"", ""per_rank"": 10}",,"{""EN"": 6, ""LK"": 6}"
13,STRONG_BACK,Strong Back,善背,AKA Mule.  You can carry an additional 50 lbs. of equipment for each level of this Perk.,每个等级你都可以多背50磅的物品。,True,3,3,"{""stat"": ""CARRY_WEIGHT"", ""per_rank"": 50}",,"{""ST"": 6, ""EN"": 6}"
14,SHARPSHOOTER,Sharpshooter,神射手,"The talent of hitting things at longer distances.  You get a +2 bonus, for each level of this Perk, to Perception for the purposes of determining range modifiers.  It's easier than ever to kill at long range!",你得到了可在射程之外射中目标的能力。每个等级都会增加2点的观察能力。现在攻击射程之外的敌人就更加容易了！,True,2,6,,,"{""PE"": 7, ""IN"": 6}"
15,SILENT_RUNNING,Silent Running,衔枚疾走,"With this Perk, you now have the ability to move quickly and still remain quiet.  You can Sneak, and run at the same time.  Without this Perk, you would automatically stop Sneaking if you ran.",拥有这能力之后你可以更快的移动，但是仍然不会发出声音。如果没有这项能力，只要一跑步就会跳出潜行模式。,True,1,6,,"{""skill"": ""SNEAK"", ""level"": 50}","{""AG"": 6}"
16,SURVIVALIST,Survivalist,适者生存,"You are a master of the outdoors.  This Perk confers the ability to survive in hostile environments.  You get a +20% bonus to Outdoorsman for survival purposes, for each level of this Perk.",你是户外求生的专家。这一个能力可以让你在任何的环境中生存得更好。每个等级你会增加20%的户外求生点数。,True,3,3,,"{""skill"": ""OUTDOORSMAN"", ""level"": 40}","{""EN"": 6, ""IN"": 6}"
17,MASTER_TRADER,Master Trader,大奸商,"You have mastered one aspect of bartering - the ability to buy goods far cheaper than a normal person.  With this Perk, you get a 25% discount when purchasing items from a store or another trader.",你得到了讨价还价的能力，现在你可以用更便宜的价钱买到许多物品。当你有这项能力时，你与商店或者是商人买东西时都会得到七五折的优待。,True,1,9,,"{""skill"": ""BARTER"", ""level"": 60}","{""CH"": 7}"
18,EDUCATED,Educated,知识份子,Each level of Educated will add +2 skill points when you gain a new experience level.  This Perk works best when purchased early in your adventure.,每个等级都会让人物在升级时增加+2点的技术点数。你越早得到这一项能力，对你越有利。,True,3,6,,,"{""IN"": 6}"
19,HEALER,Healer,医疗师,The healing of bodies comes easier to you with this Perk.  Each level will add 2-5 more hit points healed when using the First Aid or Doctor skills.,拥有这项能力，对你的治伤技术会有很大的帮助。每个等级都可以让你在治伤时多治2～5的生命点数。,True,3,3,,"{""skill"": ""FIRST_AID"", ""level"": 40}","{""PE"": 7, ""IN"": 5, ""AG"": 6}"
20,FORTUNE_FINDER,Fortune Finder,寻宝者,You have the talent of finding money.  You will find additional money in random encounters in the desert.,你拥有寻找钱的能力。在每次找到钱的时候，你找到的数量都会比较多。,True,1,6,,,"{""LK"": 8}"
21,BETTER_CRITICALS,Better Criticals,更强的致命一击,"The critical hits you cause in combat are more devastating.  You gain a 20% bonus on the critical hit table, almost ensuring that more damage will be done.  This does not affect the chance to cause a critical hit.",你在战斗时所使出的特别攻击将具有更高的伤害力。你在特别攻击表中将会多得20%的点数，也就是说，攻击时会造成更大的伤害。不过这将不会影响使出特别攻击的机率。,True,1,9,"{""stat"": ""BETTER_CRITICALS"", ""per_rank"": 20}",,"{""PE"": 6, ""AG"": 4, ""LK"": 6}"
22,EMPATHY,Empathy,神入,"You have studied other human beings, giving you the inside knowledge of their emotional reaction to you.  You will see the reaction level of the person you are talking to, when involved in an indepth conversation.",你对于人们都有著相当的研究，让你可以很清楚的了解他们的心情。你在与他人长谈时可以看到他们目前对你的感觉为何。,True,1,6,,,"{""PE"": 7, ""IN"": 5}"
23,SLAYER,Slayer,杀手,"The Slayer walks the earth!  In Hand-to-Hand combat, all of your hits are upgraded to critical hits - causing destruction and mayhem.",你是世上一流的杀手！在空手攻击时你的每一击都会变成特别攻击，造成相当强的杀伤力。,True,1,18,,"{""skill"": ""UNARMED"", ""level"": 80}","{""ST"": 8, ""AG"": 8}"
24,SNIPER,Sniper,狙击手,"You have mastered the firearm as a source of pain.  With this Perk, any successful hit in combat with a ranged weapon will be upgraded to a critical hit if you also make a Luck roll.",你对于长程武器相当的拿手。拥有这个能力，每当你成功的使用长程武器攻击敌人时，每一击都会变成特别攻击。,True,1,18,,"{""skill"": ""SMALL_GUNS"", ""level"": 80}","{""PE"": 8, ""AG"": 8}"
25,SILENT_DEATH,Silent Death,暗杀,"While Sneaking, if you hit a critter in the back, you will cause double damage using a HtH attack.  Silent Death is that kind of Perk.",当你在潜行的模式并从敌人背后攻击，你的空手攻击破坏力都会变成双倍。,True,1,18,,"{""skill"": ""SNEAK"", ""level"": 80}","{""AG"": 10}"
26,ACTION_BOY,Action Boy,活力小子,Each level of Action Boy (insert Girl if you wish) will give you an additional AP to spend every combat turn.  You can use these generic APs on any task.,每个等级的能力都会给予你更多的动作点数。,True,3,12,"{""stat"": ""MAX_AP"", ""per_rank"": 1}",,"{""AG"": 5}"
27,MENTAL_BLOCK,Mental Block,意志力,"Mental Block is the ability to tune out any outside mental interference.  You must have learned this talent from a passing guru, or from a really late night at a bar.",这一种能力可以让你不受到外界的脑波干扰。你只能从别人的身上学到这种技术，或是每天到酒吧待到很晚也可以练成这种技术。,True,1,15,,,{}
28,LIFEGIVER,Lifegiver,强韧生命力,"With each level of this Perk, you gain an additional 4 Hit Points.  This may not seem like a lot, but every little bit helps.",当你升级时每个等级都会多得到4点生命点数。这是除了每次升级都会增加的生命点数之外额外的增加值。,True,3,12,,,"{""EN"": 4}"
29,DODGER,Dodger,闪躲高手,"You are less likely to be hit in combat, if you have this Perk.  Every level will add +5% to your Armor Class, in addition to the AC bonus from any worn armor.",如果你拥有这项能力，在战斗中你就比较不会被打中。你会增加+5点到你的防御点数之中。,True,2,9,"{""stat"": ""AC"", ""per_rank"": 5}",,"{""AG"": 4}"
30,SNAKEATER,Snakeater,吃蛇人,"Yum!  Tastes like chicken. You have gained an immunity to poison, resulting in a +25% to your Poison Resistance.",嗯！好喝！每个等级你的毒免疫力都会增加25%。,True,1,6,"{""stat"": ""POISON_RESISTANCE"", ""per_rank"": 25}",,"{""EN"": 3}"
31,MR_FIXIT,Mr. Fixit,维修大师,"This Perk will give you a one-time bonus of +20% to the Repair and Science skills.  A little late night cramming never hurt anybody, especially you.",这个能力会增加20%的维修以及科学技术点数。不过只会增加一次。,True,1,12,,,{}
32,MEDIC,Medic,医学常识,The Medic Perk will give you a one-time bonus of +20% to the First Aid and Doctor skills.  Healing skills are a good thing.,这个能力会增加20%的急救以及治疗技术点数。不过只会增加一次。,True,1,12,,,{}
33,MASTER_THIEF,Master Thief,神偷,"A Master Thief has a one-time bonus of +10% to the Sneak, Lockpick, Steal and Traps skills.  Rob from the rich, and give to you.",一次性的增加+10的潜行、偷窃、开锁和陷阱技术点数。,True,1,12,,,{}
34,SPEAKER,Speaker,发言人,Being a Speaker means that you have a one-time bonus of +20% to the Speech and Barter skills.  From the mouth of babes and all that.,这个技术可以让你的演说能力增加20%，只会增加一次。,True,1,12,,,{}
35,HEAVE_HO,Heave Ho!,飞刀手！,Each level of the Heave Ho! Perk will give your thrown weapons an additional +2 Strength for purposes of determining range only.,每个等级都会增加2点的力量（最高10点）。,True,3,6,,,{}
36,FRIENDLY_FOE,Friendly Foe,辨识敌友,"Characters that are part of your team are high-lighted green in combat instead of red, if you have this Perk.  Red high-lighted characters may still be non-hostile towards you.",如果拥有这个技能，你队伍中的角色在战斗中会以绿色高亮边框显示。而红色高亮边框的角色也未必就是敌人。,True,1,6,,,"{""PE"": 4}"
37,PICKPOCKET,Pickpocket,妙手空空,"You are much more adept at Stealing than the normal crook.  You can Steal with the best of them, because with this Perk, you ignore size and facing modifiers, when stealing from a person.",你将比一般小偷拥有更高深的偷窃技术。因为当你得到这个能力时，你在偷东西时无论敌人是谁，你都能以平常心去进行偷窃的工作。,True,1,9,,"{""skill"": ""SNEAK"", ""level"": 80}","{""AG"": 8}"
38,GHOST,Ghost,神出鬼没,"When the sun goes down, or you are in a poorly lit area, you move like a Ghost with this Perk.  Your Sneak skill is enhanced +20% during darkness conditions.",当太阳下山时，或是当你到达一个没有灯的地方，你都可以像鬼魂一样移动而不被他人发现。你的潜行能力会在黑暗中增加20%。,True,1,6,,"{""skill"": ""SNEAK"", ""level"": 60}",{}
39,CULT_OF_PERSONALITY,Cult of Personality,八面玲珑,"Your reputation is always positive to people.  Without this Perk, a large negative reputation would have a bad effect on good natured people.  Works with a good rep and bad people, too.",你在人心目中的印象将会永远是正面的。没有这个能力的话，你的名誉将会改变他人对你的看法。对于邪恶的人来说，他们也会对你有好印象，以为你也是邪恶的人。,True,1,12,,,"{""CH"": 10}"
40,SCROUNGER,Scrounger,搜寻者,You can find more ammo than the normal post-holocaust survivor.  This Perk will double the amount of ammo found in random encounters.,你比别人都容易找到武器的弹药。这个能力会让你每一次找到弹药的数量变成双倍。,True,1,9,,,"{""LK"": 8}"
41,EXPLORER,Explorer,探险家,"The mark of the Explorer is to search out new and interesting locations.  With this Perk, you have a greater chance of finding special places or peoples.",探险家最主要的目的就是寻找新的东西及地方。当你有这个能力时，你找到特别地方或是人物的机率就会增加。,True,1,9,,,{}
42,FLOWER_CHILD,Flower Child,高免役力,"With this Perk, you are much less likely to crave chems (50% less likely, actually), and you suffer half the chem downtime of a normal person.",当你拥有这个能力时，你就比较不容易上化学药品的瘾。（上瘾机率会变成平常的50%）就算你上瘾后，回复正常的速度也是别人的两倍。,True,1,9,,,"{""EN"": 5}"
43,PATHFINDER,Pathfinder,寻路者,"The Pathfinder is better able to find the shortest route.  With this Perk, your travel time on the World Map is reduced by 25% for each level.",这个能力可以让你较容易找到最短的捷径。这个能力的每个等级都会将你在世界地图上移动的时间减少25%。,True,2,6,,"{""skill"": ""OUTDOORSMAN"", ""level"": 40}","{""EN"": 6}"
44,ANIMAL_FRIEND,Animal Friend,动物之友,"Animals will not attack one of their friends, unless the animal is threatened or attacked first.  Exactly what an animal is in this world is open to debate.",动物们都不会攻击他们自己的朋友，除非他们首先受到了攻击或是遭到了威胁。,True,1,9,,"{""skill"": ""OUTDOORSMAN"", ""level"": 25}","{""IN"": 5}"
45,SCOUT,Scout,斥侯,"You have improved your ability to see distant locations, increasing the size of explorations on the World Map by one square in each direction.",你远眺的能力增强了，在世界地图上看到范围的每个方向将会增加一格。,True,1,3,,,"{""PE"": 8}"
46,MYSTERIOUS_STRANGER,Mysterious Stranger,神秘陌生人,"With this Perk, you have gained the attention of a Mysterious Stranger, who will appear to help you from time to time.  If your ally is lost in combat, do not expect him or her to be replaced.",当你有这个能力时，你将会得到神秘陌生人更多的注意，这些陌生人将会随时出现助你一臂之力。不过，他们将不会代替你死去的战友。,True,1,6,,,"{""LK"": 7}"
47,RANGER,Ranger,野外专家,You are better able to avoid unwanted attention while traveling through the wasteland.  Your chance of a hostile random encounter is lowered by each level of this Perk.,你的户外求生能力将会增加15%。你在路上遇到的敌人将会减少许多，不过却会时常的遇到“特别”的事件。,True,3,6,,,"{""PE"": 6}"
48,QUICK_POCKETS,Quick Pockets,快速翻找,"You have learned to better store your equipment on your person.  With each level of this Perk, the AP cost to access Inventory in combat is reduced by one.",你学会如何将物品作更有效的整理。这能力可以让你拿取背包内物品时，每一级少用1点动作点数。,True,3,3,,,"{""AG"": 5}"
49,SMOOTH_TALKER,Smooth Talker,舌灿莲花,"A Smooth Talker has learned to increase their options in dialogue, without understanding what they are talking about.  Each level of this Perk will increase your IN by one, for purposes of dialogue only.",你的对话反应选项会增加，虽然你并不知道你在说什么。这个能力的每个等级都会增加1点的智力点数，直到最高10点为止。这一些增加的点数只对谈话有效。,True,3,3,,,"{""IN"": 4}"
50,SWIFT_LEARNER,Swift Learner,聪明过人,"You are indeed a Swift Learner with this Perk, as each level will give you an additional +5% bonus whenever you earn experience points.  Best purchased at an early level.",拥有这个能力，你就是个学习速度快的人。当你每一次升级时都会多得到5%的点数可以使用。因此越早得到这个能力对你越有利。,True,3,3,,,"{""IN"": 4}"
51,TAG,Tag!,增加特长技能,"Your skills have improved to the point where you can pick an additional Tag Skill, increasing that skill by +20% immediately and 2% per skill point spent.",你可以再选择另一个“特长技能”了。“特长技能”的点数比普通技能点数增加的速度要快两倍。,True,1,12,,,{}
52,MUTATE,Mutate!,突变！,The radiation of the wasteland has changed you!  One of your Traits has mutated into something else...,在荒野中的放射线已经改变了你的体质！你的其中一种特徵已经变成了另一种特徵了……,True,1,9,,,{}
53,NUKA_COLA_ADDICTION,Nuka-Cola Craving,上了核子可乐的瘾,You crave another Nuka-Cola.,你想要再来一瓶核子可乐。,False,-1,1,,,{}
54,BUFFOUT_ADDICTION,Buffout Craving,上了壮大灵的瘾,You've got the shakes.,你全身发抖。,False,-1,1,,,"{""ST"": -2, ""EN"": -2, ""AG"": -3}"
55,MENTATS_ADDICTION,Mentats Craving,上了曼他特的瘾,You feel groggy.,你觉得没有力气。,False,-1,1,,,"{""IN"": -3, ""AG"": -2}"
56,PSYCHO_ADDICTION,Psycho Craving,上了疯狂药的瘾,You feel light-headed.,你觉得头昏眼花。,False,-1,1,,,"{""IN"": -2}"
57,RADAWAY_ADDICTION,Radaway Craving,上了辐射药的瘾,You feel nauseous.,你觉得想吐。,False,-1,1,"{""stat"": ""RADIATION_RESISTANCE"", ""per_rank"": -20}",,{}
58,WEAPON_LONG_RANGE,Weapon Long Range,长程武器,Weapon Long Range,长程武器,False,-1,1,,,{}
59,WEAPON_ACCURATE,Weapon Accurate,武器准确度,Weapon Accurate,武器准确度,False,-1,1,,,{}
60,WEAPON_PENETRATE,Weapon Penetrate,武器穿透度,Weapon Penetrate,武器穿透度,False,-1,1,,,{}
61,WEAPON_KNOCKBACK,Weapon Knockback,武器震撼力,Weapon Knockback,武器反弹力,False,-1,1,,,{}
62,POWERED_ARMOR,Powered Armor,动力装甲,Powered Armor,动力装甲,False,-1,1,"{""stat"": ""RADIATION_RESISTANCE"", ""per_rank"": 30}",,"{""ST"": 3}"
63,COMBAT_ARMOR,Combat Armor,战斗装甲,Combat Armor,战斗装甲,False,-1,1,"{""stat"": ""RADIATION_RESISTANCE"", ""per_rank"": 20}",,{}
